id,city,country,state,zipcode
1,Port Blair,India,Andaman Nicobar,744104
2,Port Blair,India,Andaman Nicobar,744208
3,Port Blair,India,Andaman Nicobar,744107
4,Port Blair,India,Andaman Nicobar,744201
5,Port Blair,India,Andaman Nicobar,744302
6,Car Nicobar,India,Andaman Nicobar,744301
7,Port Blair,India,Andaman Nicobar,744202
8,Port Blair,India,Andaman Nicobar,744102
9,Port Blair,India,Andaman Nicobar,744211
10,Port Blair,India,Andaman Nicobar,744207
11,Port Blair,India,Andaman Nicobar,744103
12,Port Blair,India,Andaman Nicobar,744209
13,Port Blair,India,Andaman Nicobar,744304
14,Port Blair,India,Andaman Nicobar,744203
15,Port Blair,India,Andaman Nicobar,744101
16,Port Blair,India,Andaman Nicobar,744204
17,Port Blair,India,Andaman Nicobar,744101
18,Port Blair,India,Andaman Nicobar,744303
19,Port Blair,India,Andaman Nicobar,744104
20,Port Blair,India,Andaman Nicobar,744105
21,Port Blair,India,Andaman Nicobar,744210
22,Port Blair,India,Andaman Nicobar,744101
23,Port Blair,India,Andaman Nicobar,744205
24,Port Blair,India,Andaman Nicobar,744106
25,Port Blair,India,Andaman Nicobar,744206
26,Nellore,India,Andhra Pradesh,524002
27,Nalgonda,India,Andhra Pradesh,508207
28,Adilabad,India,Andhra Pradesh,504251
29,Hyderabad,India,Andhra Pradesh,500463
30,Hyderabad,India,Andhra Pradesh,500890
31,Vishakhapatnam,India,Andhra Pradesh,531001
32,Hyderabad,India,Andhra Pradesh,500030
33,Hyderabad,India,Andhra Pradesh,500049
34,Mahboobnagar,India,Andhra Pradesh,509343
35,Guntur,India,Andhra Pradesh,522004
36,Anantapur,India,Andhra Pradesh,515001
37,Kurnool,India,Andhra Pradesh,518543
38,Warangal,India,Andhra Pradesh,506144
39,Karimnagar,India,Andhra Pradesh,505208
40,Guntur,India,Andhra Pradesh,522015
41,Guntur,India,Andhra Pradesh,522403
42,Hyderabad,India,Andhra Pradesh,500004
43,Hyderabad,India,Andhra Pradesh,500252
44,Lingotam,India,Andhra Pradesh,509375
45,Achanta,India,Andhra Pradesh,534123
46,Vishakhapatnam,India,Andhra Pradesh,531011
47,Adilabad,India,Andhra Pradesh,504001
48,Hyderabad,India,Andhra Pradesh,500463
49,Addanki,India,Andhra Pradesh,523201
50,Prakasam,India,Andhra Pradesh,523001
51,East Godavari,India,Andhra Pradesh,533428
52,Adilabad,India,Andhra Pradesh,504001
53,Adilabad,India,Andhra Pradesh,504002
54,Adivarampet,India,Andhra Pradesh,505188
55,Khammam,India,Andhra Pradesh,507101
56,Hyderabad,India,Andhra Pradesh,500007
57,Hyderabad,India,Andhra Pradesh,500032
58,Adoni,India,Andhra Pradesh,518301
59,Kurnool,India,Andhra Pradesh,518302
60,Kurnool,India,Andhra Pradesh,518301
61,Kurnool,India,Andhra Pradesh,518301
62,Nalgonda,India,Andhra Pradesh,508367
63,Hyderabad,India,Andhra Pradesh,500007
64,Guntur,India,Andhra Pradesh,522263
65,Hyderabad,India,Andhra Pradesh,500012
66,Agadur,India,Andhra Pradesh,516421
67,Anantapur,India,Andhra Pradesh,515311
68,Agnoor,India,Andhra Pradesh,501146
69,Guntur,India,Andhra Pradesh,522270
70,West Godavari,India,Andhra Pradesh,534196
71,Guntur,India,Andhra Pradesh,522004
72,Hyderabad,India,Andhra Pradesh,500030
73,Hyderabad,India,Andhra Pradesh,500028
74,Prakasam,India,Andhra Pradesh,523155
75,Ainapur,India,Andhra Pradesh,501522
76,Guntur,India,Andhra Pradesh,522659
77,Hyderabad,India,Andhra Pradesh,500043
78,Nalgonda,India,Andhra Pradesh,508216
79,Krishna,India,Andhra Pradesh,520015
80,Ajjada,India,Andhra Pradesh,532552
81,West Godavari,India,Andhra Pradesh,534339
82,Cuddapah,India,Andhra Pradesh,516132
83,West Godavari,India,Andhra Pradesh,534235
84,West Godavari,India,Andhra Pradesh,534235
85,Kurnool,India,Andhra Pradesh,516506
86,Vishakhapatnam,India,Andhra Pradesh,530016
87,Srikakulam,India,Andhra Pradesh,532219
88,Chittoor,India,Andhra Pradesh,517536
89,Kurnool,India,Andhra Pradesh,518196
90,Krishna,India,Andhra Pradesh,521245
91,Mahboobnagar,India,Andhra Pradesh,509362
92,Vizianagaram,India,Andhra Pradesh,531240
93,Mahboobnagar,India,Andhra Pradesh,509152
94,East Godavari,India,Andhra Pradesh,533233
95,West Godavari,India,Andhra Pradesh,534126
96,East Godavari,India,Andhra Pradesh,533101
97,Karimnagar,India,Andhra Pradesh,505533
98,Karimnagar,India,Andhra Pradesh,505330
99,Nalgonda,India,Andhra Pradesh,508101
100,Medak,India,Andhra Pradesh,502269
101,Kurnool,India,Andhra Pradesh,518543
102,East Godavari,India,Andhra Pradesh,533217
103,Medak,India,Andhra Pradesh,502310
104,Vishakhapatnam,India,Andhra Pradesh,530004
105,Nizamabad,India,Andhra Pradesh,503214
106,Nellore,India,Andhra Pradesh,524315
107,Nellore,India,Andhra Pradesh,524315
108,Mahboobnagar,India,Andhra Pradesh,509150
109,Ranga Reddy,India,Andhra Pradesh,501514
110,Kurnool,India,Andhra Pradesh,518395
111,Mahboobnagar,India,Andhra Pradesh,509149
112,Mahboobnagar,India,Andhra Pradesh,509388
113,Anantapur,India,Andhra Pradesh,515566
114,Srikakulam,India,Andhra Pradesh,532185
115,Srikakulam,India,Andhra Pradesh,532185
116,Ranga Reddy,India,Andhra Pradesh,501504
117,Amalapuram,India,Andhra Pradesh,533201
118,East Godavari,India,Andhra Pradesh,533201
119,Anantapur,India,Andhra Pradesh,515445
120,Mahboobnagar,India,Andhra Pradesh,509321
121,Mahboobnagar,India,Andhra Pradesh,509201
122,Anantapur,India,Andhra Pradesh,515281
123,Guntur,India,Andhra Pradesh,522020
124,Guntur,India,Andhra Pradesh,522007
125,Mahboobnagar,India,Andhra Pradesh,509130
126,Mahboobnagar,India,Andhra Pradesh,509142
127,East Godavari,India,Andhra Pradesh,533214
128,Nizamabad,India,Andhra Pradesh,503235
129,Karimnagar,India,Andhra Pradesh,505306
130,Medak,India,Andhra Pradesh,502103
131,Hyderabad,India,Andhra Pradesh,500013
132,Hyderabad,India,Andhra Pradesh,500016
133,Mahboobnagar,India,Andhra Pradesh,509330
134,Anantapur,India,Andhra Pradesh,515822
135,Prakasam,India,Andhra Pradesh,523180
136,Srikakulam,India,Andhra Pradesh,532015
137,Nalgonda,India,Andhra Pradesh,508219
138,Guntur,India,Andhra Pradesh,522325
139,Nalgonda,India,Andhra Pradesh,508290
140,Anakapalle,India,Andhra Pradesh,531001
141,Vishakhapatnam,India,Andhra Pradesh,531001
142,Vishakhapatnam,India,Andhra Pradesh,531001
143,Vishakhapatnam,India,Andhra Pradesh,531001
144,Hyderabad,India,Andhra Pradesh,500004
145,Guntur,India,Andhra Pradesh,522003
146,Vishakhapatnam,India,Andhra Pradesh,530042
147,West Godavari,India,Andhra Pradesh,534111
148,Anantapur,India,Andhra Pradesh,515001
149,Anantapur,India,Andhra Pradesh,515002
150,Cuddapah,India,Andhra Pradesh,516357
151,Cuddapah,India,Andhra Pradesh,516105
152,Cuddapah,India,Andhra Pradesh,516228
153,Nellore,India,Andhra Pradesh,524302
154,East Godavari,India,Andhra Pradesh,533222
155,Guntur,India,Andhra Pradesh,522301
156,Guntur,India,Andhra Pradesh,522014
157,Ranga Reddy,India,Andhra Pradesh,501105
158,Cuddapah,India,Andhra Pradesh,516116
159,East Godavari,India,Andhra Pradesh,533342
160,East Godavari,India,Andhra Pradesh,533342
161,Ranga Reddy,India,Andhra Pradesh,501201
162,Nellore,India,Andhra Pradesh,524004
163,Hyderabad,India,Andhra Pradesh,500044
164,Nizamabad,India,Andhra Pradesh,503215
165,Vishakhapatnam,India,Andhra Pradesh,530003
